"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"5.6.2023 14:54:49",1,201,603,10.3
"5.6.2023 14:54:49",2,200,600,10
"5.6.2023 14:54:49",3,202,606,10.6
"5.6.2023 14:54:49",4,201,603,10.3
"5.6.2023 14:54:55",1,201,603,10.3
"5.6.2023 14:54:55",2,199,597,9.7
"5.6.2023 14:54:55",3,203,609,10.9
"5.6.2023 14:54:55",4,202,606,10.6
"5.6.2023 14:55:1",1,202,606,10.6
"5.6.2023 14:55:1",2,201,603,10.3
"5.6.2023 14:55:1",3,203,609,10.9
"5.6.2023 14:55:1",4,201,603,10.3
"5.6.2023 14:55:8",1,201,603,10.3
"5.6.2023 14:55:8",2,200,600,10
"5.6.2023 14:55:8",3,203,609,10.9
"5.6.2023 14:55:8",4,202,606,10.6
"5.6.2023 14:55:14",1,202,606,10.6
"5.6.2023 14:55:14",2,200,600,10
"5.6.2023 14:55:14",3,203,609,10.9
"5.6.2023 14:55:14",4,202,606,10.6
"5.6.2023 14:55:20",1,200,600,10
"5.6.2023 14:55:20",2,200,600,10
"5.6.2023 14:55:20",3,203,609,10.9
"5.6.2023 14:55:20",4,204,612,11.2
"5.6.2023 14:55:26",1,196,588,8.8
"5.6.2023 14:55:26",2,196,588,8.8
"5.6.2023 14:55:26",3,203,609,10.9
"5.6.2023 14:55:26",4,201,603,10.3
"5.6.2023 14:55:32",1,201,603,10.3
"5.6.2023 14:55:32",2,198,594,9.4
"5.6.2023 14:55:32",3,203,609,10.9
"5.6.2023 14:55:32",4,200,600,10
"5.6.2023 14:55:39",1,201,603,10.3
"5.6.2023 14:55:39",2,200,600,10
"5.6.2023 14:55:39",3,203,609,10.9
"5.6.2023 14:55:39",4,201,603,10.3
"5.6.2023 14:55:45",1,200,600,10
"5.6.2023 14:55:45",2,201,603,10.3
"5.6.2023 14:55:45",3,201,603,10.3
"5.6.2023 14:55:45",4,201,603,10.3
"5.6.2023 14:55:51",1,202,606,10.6
"5.6.2023 14:55:51",2,199,597,9.7
"5.6.2023 14:55:51",3,203,609,10.9
"5.6.2023 14:55:51",4,201,603,10.3
"5.6.2023 14:55:57",1,200,600,10
"5.6.2023 14:55:57",2,201,603,10.3
"5.6.2023 14:55:57",3,203,609,10.9
"5.6.2023 14:55:57",4,201,603,10.3
"5.6.2023 14:56:3",1,201,603,10.3
"5.6.2023 14:56:3",2,201,603,10.3
"5.6.2023 14:56:3",3,203,609,10.9
"5.6.2023 14:56:3",4,202,606,10.6
"5.6.2023 14:56:9",1,202,606,10.6
"5.6.2023 14:56:9",2,200,600,10
"5.6.2023 14:56:9",3,202,606,10.6
"5.6.2023 14:56:9",4,202,606,10.6
"5.6.2023 14:56:16",1,201,603,10.3
"5.6.2023 14:56:16",2,200,600,10
"5.6.2023 14:56:16",3,203,609,10.9
"5.6.2023 14:56:16",4,201,603,10.3
"5.6.2023 14:56:22",1,201,603,10.3
"5.6.2023 14:56:22",2,201,603,10.3
"5.6.2023 14:56:22",3,202,606,10.6
