"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"8.6.2023 9:30:0",4,203,609,10.9
"8.6.2023 9:30:9",1,204,612,11.2
"8.6.2023 9:30:9",2,203,609,10.9
"8.6.2023 9:30:9",3,204,612,11.2
"8.6.2023 9:30:9",4,202,606,10.6
"8.6.2023 9:30:18",1,205,615,11.5
"8.6.2023 9:30:18",2,201,603,10.3
"8.6.2023 9:30:18",3,204,612,11.2
"8.6.2023 9:30:18",4,202,606,10.6
"8.6.2023 9:30:28",1,204,612,11.2
"8.6.2023 9:30:28",2,203,609,10.9
"8.6.2023 9:30:28",3,205,615,11.5
"8.6.2023 9:30:28",4,202,606,10.6
"8.6.2023 9:30:37",1,203,609,10.9
"8.6.2023 9:30:37",2,203,609,10.9
"8.6.2023 9:30:37",3,204,612,11.2
"8.6.2023 9:30:37",4,202,606,10.6
"8.6.2023 9:30:46",1,205,615,11.5
"8.6.2023 9:30:46",2,202,606,10.6
"8.6.2023 9:30:46",3,206,618,11.8
"8.6.2023 9:30:46",4,203,609,10.9
"8.6.2023 9:30:55",1,205,615,11.5
"8.6.2023 9:30:55",2,203,609,10.9
"8.6.2023 9:30:55",3,200,600,10
"8.6.2023 9:30:55",4,202,606,10.6
"8.6.2023 9:31:5",1,204,612,11.2
"8.6.2023 9:31:5",2,203,609,10.9
"8.6.2023 9:31:5",3,203,609,10.9
"8.6.2023 9:31:5",4,202,606,10.6
"8.6.2023 9:31:14",1,204,612,11.2
"8.6.2023 9:31:14",2,203,609,10.9
"8.6.2023 9:31:14",3,204,612,11.2
"8.6.2023 9:31:14",4,202,606,10.6
"8.6.2023 9:31:23",1,206,618,11.8
"8.6.2023 9:31:23",2,203,609,10.9
"8.6.2023 9:31:23",3,204,612,11.2
"8.6.2023 9:31:23",4,203,609,10.9
"8.6.2023 9:31:32",1,204,612,11.2
"8.6.2023 9:31:32",2,203,609,10.9
"8.6.2023 9:31:32",3,204,612,11.2
"8.6.2023 9:31:32",4,202,606,10.6
"8.6.2023 9:31:41",1,204,612,11.2
"8.6.2023 9:31:41",2,202,606,10.6
"8.6.2023 9:31:41",3,202,606,10.6
"8.6.2023 9:31:41",4,203,609,10.9
"8.6.2023 9:31:50",1,204,612,11.2
"8.6.2023 9:31:50",2,203,609,10.9
"8.6.2023 9:31:50",3,204,612,11.2
"8.6.2023 9:31:50",4,202,606,10.6
"8.6.2023 9:32:0",1,203,609,10.9
"8.6.2023 9:32:0",2,203,609,10.9
"8.6.2023 9:32:0",3,204,612,11.2
"8.6.2023 9:32:0",4,203,609,10.9
"8.6.2023 9:32:9",1,204,612,11.2
"8.6.2023 9:32:9",2,203,609,10.9
"8.6.2023 9:32:9",3,204,612,11.2
"8.6.2023 9:32:9",4,203,609,10.9
"8.6.2023 9:32:18",1,205,615,11.5
"8.6.2023 9:32:18",2,202,606,10.6
"8.6.2023 9:32:18",3,206,618,11.8
"8.6.2023 9:32:18",4,202,606,10.6
"8.6.2023 9:32:27",1,205,615,11.5
"8.6.2023 9:32:27",2,204,612,11.2
"8.6.2023 9:32:27",3,204,612,11.2
"8.6.2023 9:32:27",4,203,609,10.9
"8.6.2023 9:32:36",1,204,612,11.2
"8.6.2023 9:32:36",2,203,609,10.9
"8.6.2023 9:32:36",3,204,612,11.2
"8.6.2023 9:32:36",4,204,612,11.2
"8.6.2023 9:32:45",1,204,612,11.2
"8.6.2023 9:32:45",2,202,606,10.6
"8.6.2023 9:32:45",3,200,600,10
"8.6.2023 9:32:45",4,202,606,10.6
"8.6.2023 9:32:55",1,204,612,11.2
"8.6.2023 9:32:55",2,203,609,10.9
"8.6.2023 9:32:55",3,205,615,11.5
"8.6.2023 9:32:55",4,202,606,10.6
"8.6.2023 9:33:4",1,204,612,11.2
